Plot,Elevation_22
544,1146.192521837
545,1146.600002713
546,1146.952758789
547,1147.428096517
548,1147.758338081
549,1147.924641927
550,1147.985012478
551,1147.629427083
552,1146.81241862
553,1145.854437934
554,1145.120171441
555,1144.656339518
556,1144.027567546
557,1143.476833767
558,1143.180796305
559,1145.848037109
560,1145.908211263
561,1145.726066081
562,1145.326157227
563,1144.724182129
564,1144.076737467
565,1143.776855469
566,1143.605556641
567,1143.399141439
568,1143.21957194
569,1143.281791178
570,1143.617041016
571,1143.986507161
572,1144.366475423
573,1144.934411621
574,1145.54425293
575,1146.122680664
576,1146.509025065
577,1146.899556478
578,1147.379296875
579,1147.717903646
580,1147.859452311
581,1147.897485352
582,1147.568994141
583,1146.744307454
584,1145.804667155
585,1145.061560059
586,1144.581591797
587,1143.964363607
588,1143.404418945
589,1143.050805664
590,1145.734696452
591,1145.826097276
592,1145.706746419
593,1145.305696615
594,1144.717376709
595,1144.079661051
596,1143.745683458
597,1143.555155436
598,1143.350440131
599,1143.168070475
600,1143.224663628
601,1143.542236328
602,1143.917758518
603,1144.306389703
604,1144.864291721
605,1145.482177734
606,1146.050035265
607,1146.447706434
608,1146.826643202
609,1147.313708496
610,1147.645009359
611,1147.803683811
612,1147.870527479
613,1147.516019694
614,1146.681342231
615,1145.718166775
616,1144.987067329
617,1144.503275553
618,1143.886827257
619,1143.31721327
620,1142.915622287
621,1145.625390625
622,1145.764224582
623,1145.669871012
624,1145.291870117
625,1144.711212158
626,1144.085201687
627,1143.743743896
628,1143.555900065
629,1143.356791178
630,1143.144212511
631,1143.183291965
632,1143.502697754
633,1143.87616984
634,1144.255974664
635,1144.824293349
636,1145.448384603
637,1145.984975179
638,1146.375010173
639,1146.744245741
640,1147.215535482
641,1147.585947673
642,1147.763831245
643,1147.835144043
644,1147.429288737
645,1146.608869765
646,1145.635006375
647,1144.858957926
648,1144.387687174
649,1143.774349637
650,1143.206987169
651,1142.778727214
652,1145.565393066
653,1145.698103163
654,1145.628519694
655,1145.269152832
656,1144.696211073
657,1144.058668349
658,1143.755408393
659,1143.57931722
660,1143.371246338
661,1143.167500814
662,1143.194291857
663,1143.502201335
664,1143.870646159
665,1144.239223904
666,1144.804816352
667,1145.435148112
668,1145.957468669
669,1146.318111844
670,1146.675676134
671,1147.154907227
672,1147.541147868
673,1147.741529677
674,1147.807047526
675,1147.337060547
676,1146.493513319
677,1145.494066026
678,1144.734405518
679,1144.24671224
680,1143.614603678
681,1143.084882948
682,1142.646338569
683,1145.579604492
684,1145.662902832
685,1145.589660645
686,1145.226899414
687,1144.662276204
688,1144.039672852
689,1143.753015137
690,1143.577416992
691,1143.368001302
692,1143.177718099
693,1143.224898275
694,1143.516958008
695,1143.871207682
696,1144.236287435
697,1144.810595703
698,1145.418530273
699,1145.943204753
700,1146.287679036
701,1146.642118327
702,1147.132197266
703,1147.504695638
704,1147.699991862
705,1147.754077148
706,1147.267285156
707,1146.383894857
708,1145.360616048
709,1144.602038574
710,1144.134589844
711,1143.506669108
712,1142.955485026
713,1142.52561849
714,1145.8046875
715,1145.696926541
716,1145.574554443
717,1145.205989583
718,1144.652279324
719,1144.038831923
720,1143.719407823
721,1143.555863444
722,1143.360036214
723,1143.175710042
724,1143.241550022
725,1143.548673503
726,1143.879302979
727,1144.251319038
728,1144.809471978
729,1145.396280924
730,1145.925184462
731,1146.263861762
732,1146.631418864
733,1147.096402995
734,1147.455841064
735,1147.625074599
736,1147.62983195
737,1147.173128255
738,1146.303931342
739,1145.270484077
740,1144.47237481
741,1143.990079753
742,1143.38708157
743,1142.843794081
744,1142.424153646
745,1146.205301921
746,1145.940487332
747,1145.614373101
748,1145.249003092
749,1144.677174886
750,1144.056962755
751,1143.726908366
752,1143.539632161
753,1143.34713406
754,1143.183966743
755,1143.25306193
756,1143.576102702
757,1143.896124946
758,1144.253936768
759,1144.805216471
760,1145.400036621
761,1145.91192966
762,1146.258945041
763,1146.611334907
764,1147.047241211
765,1147.363332113
766,1147.527228461
767,1147.529995388
768,1147.093591309
769,1146.200561523
770,1145.173475477
771,1144.369903564
772,1143.870841471
773,1143.247467041
774,1142.73127577
775,1142.350545247
776,1146.643408203
777,1146.122755263
778,1145.746310764
779,1145.361714681
780,1144.76095242
781,1144.123786079
782,1143.795576308
783,1143.592020671
784,1143.377424452
785,1143.225782606
786,1143.29760064
787,1143.638244629
788,1143.964704725
789,1144.291232639
790,1144.828660753
791,1145.399019368
792,1145.911777072
793,1146.263098823
794,1146.603766547
795,1147.031827799
796,1147.31189643
797,1147.441009521
798,1147.45779758
799,1146.990958659
800,1146.10727946
801,1145.081532796
802,1144.268147786
803,1143.777941895
804,1143.160776774
805,1142.651302762
806,1142.295362684
807,1146.823945313
808,1146.300667318
809,1145.901094564
810,1145.500112305
811,1144.889168294
812,1144.23486735
813,1143.894002279
814,1143.718823242
815,1143.464058431
816,1143.289815267
817,1143.385359701
818,1143.725273437
819,1144.054170736
820,1144.369315592
821,1144.88248291
822,1145.427871094
823,1145.932368978
824,1146.275724284
825,1146.610961914
826,1147.033120117
827,1147.307181803
828,1147.427351888
829,1147.413871257
830,1146.935991211
831,1146.043001302
832,1145.013317871
833,1144.206270345
834,1143.716484375
835,1143.135070801
836,1142.633064779
837,1142.283040365
838,1146.988720703
839,1146.469702827
840,1146.103207058
841,1145.687862142
842,1145.047854953
843,1144.397101508
844,1144.045352512
845,1143.854093424
846,1143.58017985
847,1143.396840413
848,1143.496622721
849,1143.838688151
850,1144.156073676
851,1144.473290337
852,1144.963202582
853,1145.495369466
854,1145.977708605
855,1146.308302138
856,1146.627509223
857,1147.01965332
858,1147.286427816
859,1147.397379557
860,1147.378190782
861,1146.884960938
862,1145.97108629
863,1144.97648112
864,1144.183200412
865,1143.721468099
866,1143.127109104
867,1142.652289497
868,1142.308749729
869,1146.815885417
870,1146.515109592
871,1146.339250353
872,1145.922436523
873,1145.245917426
874,1144.58190918
875,1144.249474419
876,1144.007271322
877,1143.736182319
878,1143.562913683
879,1143.633772108
880,1143.972094727
881,1144.289615207
882,1144.581312391
883,1145.060991075
884,1145.589363607
885,1146.045227051
886,1146.338368734
887,1146.615804036
888,1146.974019368
889,1147.228875054
890,1147.304473877
891,1147.299455431
892,1146.820556641
893,1145.91200765
894,1144.948988173
895,1144.198811849
896,1143.72232666
897,1143.146928575
898,1142.690066867
899,1142.351501465
900,1146.527762858
901,1146.459404839
902,1146.497046577
903,1146.146561686
904,1145.474938287
905,1144.795447456
906,1144.452131483
907,1144.202726237
908,1143.90024821
909,1143.725009494
910,1143.776743571
911,1144.091174316
912,1144.370242649
913,1144.659359402
914,1145.135704888
915,1145.666190592
916,1146.092851427
917,1146.363291423
918,1146.559973823
919,1146.862467448
920,1147.112643772
921,1147.177144368
922,1147.163509793
923,1146.706115723
924,1145.831698947
925,1144.889258491
926,1144.158643934
927,1143.692203776
928,1143.150902642
929,1142.727189806
930,1142.389224582
931,1146.397011719
932,1146.550089518
933,1146.722741699
934,1146.337490234
935,1145.668233236
936,1145.001135254
937,1144.631795247
938,1144.369003906
939,1144.06521403
940,1143.858601888
941,1143.904500326
942,1144.193041992
943,1144.424816895
944,1144.693648275
945,1145.181180827
946,1145.696293945
947,1146.116182454
948,1146.33787028
949,1146.502461751
950,1146.752978516
951,1146.9453125
952,1147.023893229
953,1146.99666748
954,1146.552578125
955,1145.695922852
956,1144.783687337
957,1144.052278646
958,1143.600522461
959,1143.050516764
960,1142.689253743
961,1142.347290039
962,1146.589420573
963,1146.770443387
964,1146.980265299
965,1146.590527344
966,1145.907368978
967,1145.239888509
968,1144.854949951
969,1144.558890788
970,1144.216020372
971,1144.038591173
972,1144.076168484
973,1144.317862956
974,1144.499535455
975,1144.729349772
976,1145.226243761
977,1145.720194499
978,1146.113186306
979,1146.285407172
980,1146.44023641
981,1146.627408854
982,1146.734985352
983,1146.778971354
984,1146.804924859
985,1146.376831055
986,1145.547739665
987,1144.657758925
988,1143.916937934
989,1143.379911296
990,1142.843539768
991,1142.428870307
992,1142.056647407
993,1146.854325358
994,1147.010718452
995,1147.125495063
996,1146.872619629
997,1146.255611844
998,1145.624654134
999,1145.276638455
1000,1144.984501139
1001,1144.674350315
1002,1144.504079183
1003,1144.48353068
1004,1144.615759277
1005,1144.683905707
1006,1144.837897407
1007,1145.152448866
1008,1145.490950521
1009,1145.764712863
1010,1145.859144423
1011,1145.904368083
1012,1145.943819173
1013,1145.946736654
1014,1145.992329915
1015,1145.971598307
1016,1145.554496257
1017,1144.977478027
1018,1144.412835015
1019,1143.612416585
1020,1143.031567383
1021,1142.488410102
1022,1141.988484701
1023,1141.6328125
1024,1147.133614095
1025,1147.143110487
1026,1147.202087402
1027,1146.955680339
1028,1146.51731703
1029,1146.029625787
1030,1145.720316569
1031,1145.522155762
1032,1145.225209554
1033,1145.051500109
1034,1144.971374512
1035,1144.976066081
1036,1144.865871853
1037,1144.827735053
1038,1144.971923828
1039,1145.054012044
1040,1145.174472385
1041,1145.042626275
1042,1145.034851074
1043,1144.873636882
1044,1144.893256293
1045,1144.698150635
1046,1144.627451579
1047,1144.424019368
1048,1143.98099094
1049,1143.619276259
1050,1143.12568495
1051,1142.631315104
1052,1142.141130235
1053,1141.722754584
1054,1141.300343831
1055,1147.371508789
1056,1147.247941081
1057,1147.128812663
1058,1146.924892578
1059,1146.648840332
1060,1146.371761068
1061,1146.100691732
1062,1145.891918945
1063,1145.705395508
1064,1145.519535319
1065,1145.352099609
1066,1145.181411133
1067,1144.999377441
1068,1144.824719238
1069,1144.760746257
1070,1144.661899414
1071,1144.578715007
1072,1144.416874186
1073,1144.290580241
1074,1144.092001953
1075,1144.022810872
1076,1143.771638997
1077,1143.576171875
1078,1143.364829102
1079,1143.151619466
1080,1142.859509277
1081,1142.624320475
1082,1142.409086914
1083,1142.124503581
1084,1141.768733724
1085,1141.287569173
1086,1147.793078613
1087,1147.512776693
1088,1147.220262316
1089,1146.977640788
1090,1146.714111328
1091,1146.424848768
1092,1146.172170003
1093,1145.956404622
1094,1145.793355306
1095,1145.588667128
1096,1145.365003798
1097,1145.172733561
1098,1144.979051378
1099,1144.809624566
1100,1144.640011258
1101,1144.50411377
1102,1144.363783095
1103,1144.206946479
1104,1144.02597385
1105,1143.841768392
1106,1143.655971951
1107,1143.410929362
1108,1143.133826362
1109,1142.926403809
1110,1142.762891981
1111,1142.606540256
1112,1142.497982449
1113,1142.347607422
1114,1142.208858914
1115,1141.89243571
1116,1141.400278727
1117,1148.313757324
1118,1147.97173055
1119,1147.50072564
1120,1147.088541667
1121,1146.805352105
1122,1146.491556803
1123,1146.222791884
1124,1145.999865723
1125,1145.798288981
1126,1145.585432265
1127,1145.345625136
1128,1145.145585124
1129,1144.949961344
1130,1144.77883233
1131,1144.61622111
1132,1144.487182617
1133,1144.338592529
1134,1144.188713921
1135,1144.016883002
1136,1143.846476237
1137,1143.669433594
1138,1143.437523736
1139,1143.201839871
1140,1143.012333171
1141,1142.857469347
1142,1142.719689263
1143,1142.601528592
1144,1142.494340007
1145,1142.358683268
1146,1142.042690701
1147,1141.546695285
