,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
4116,4117,Plot1074,2020,6182020,33.876,44.567,28.236,36.19886076,0.178662576,0.136290045,0.212938435,0.63356295,27.022,0.026803776,-0.047212666,26.99519622,0.267609254,0.349910177,1.31559216,1.397841395,14,14,188.4788708
4117,4118,Plot1075,2020,6182020,31.781,43.272,27.867,34.92404918,0.183977235,0.153105139,0.243525622,0.643996118,26.896,0.01186747,-0.041373883,26.88413253,0.299196752,0.357790621,1.361568233,1.422479986,14,15,189.4451357
4118,4119,Plot1076,2020,6182020,32.938,44.272,28.011,35.7283172,0.184590583,0.146794457,0.230370536,0.632702385,27.595,0.017498408,-0.048056947,27.57750159,0.28739593,0.35987324,1.344101038,1.418615381,14,16,191.6629925
4119,4120,Plot1077,2020,6182020,31.822,43.488,27.718,34.98634663,0.187255999,0.154906387,0.245125231,0.637371229,27.436,0.010315642,-0.045451722,27.42568436,0.302552722,0.363892383,1.366601722,1.430904014,14,17,191.934187
4120,4121,Plot1078,2020,6182020,32.944,44.13,28.289,35.74461058,0.180791074,0.145133249,0.229291791,0.641037843,27.027,0.018902271,-0.042950561,27.00809773,0.28427855,0.352677869,1.339545896,1.40925134,14,18,190.1882873
4121,4122,Plot1079,2020,6182020,30.926,42.813,27.334,34.33422977,0.190192236,0.161203705,0.256157742,0.638450938,27.366,0.004782682,-0.044971456,27.36121732,0.314241335,0.36875163,1.384369139,1.442472546,14,19,188.716296
4122,4123,Plot108,2020,6182020,25.296,35.547,22.188,28.25941831,0.199109447,0.168482816,0.265192084,0.624187695,23.61,-0.001596994,-0.054001518,23.61159699,0.327664401,0.384863919,1.405241935,1.467945805,62,8,229.697228
4123,4124,Plot1080,2020,6182020,30.829,42.969,26.937,34.26545477,0.196041864,0.164503103,0.25906404,0.626893807,28.172,0.00190202,-0.052188415,28.17009798,0.320337467,0.379521592,1.393785072,1.457850564,14,20,189.2348478
4124,4125,Plot1081,2020,6182020,35.526,46.229,30.205,37.91024111,0.168956122,0.13091554,0.207623666,0.65337775,26.727,0.03132726,-0.035209003,26.69567274,0.257419204,0.331463197,1.301272308,1.37351642,13,1,159.7653135
4125,4126,Plot1082,2020,6182020,41.137,50.548,33.672,42.35231854,0.149438617,0.102644926,0.162222261,0.666139115,26.287,0.056189922,-0.027179974,26.23081008,0.203149472,0.29691788,1.228772152,1.313500594,13,2,157.4801419
4126,4127,Plot1083,2020,6182020,37.817,48.134,31.531,39.75429288,0.162544682,0.120033507,0.189581036,0.655067104,26.92,0.04094074,-0.033967757,26.87905926,0.236657247,0.320427835,1.272813814,1.352243824,13,3,168.0361728
4127,4128,Plot1084,2020,6182020,38.271,47.894,31.111,39.69214447,0.159871647,0.111681077,0.174792022,0.649580323,26.406,0.048478802,-0.036994782,26.3575212,0.220610553,0.316599547,1.251443652,1.340808005,13,4,171.2371048
4128,4129,Plot1085,2020,6182020,42.069,51.858,33.074,43.0230264,0.159751536,0.104219234,0.160863063,0.637780092,28.573,0.055421611,-0.043735089,28.51757839,0.206198809,0.318053378,1.232689154,1.335500039,13,5,150.8488849
4129,4130,Plot1086,2020,6182020,36.759,47.216,29.985,38.64226944,0.171787363,0.124525156,0.193684016,0.635060149,27.688,0.037263952,-0.045954721,27.65073605,0.245247381,0.338318657,1.28447455,1.374619696,13,6,161.488468
4130,4131,Plot1087,2020,6182020,38.742,49.544,31.683,40.65859068,0.169090276,0.122352355,0.190837941,0.639492169,28.663,0.039133443,-0.043242838,28.62386656,0.241095486,0.333275823,1.278818853,1.367409181,13,7,184.4160848
4131,4132,Plot1088,2020,6182020,35.255,46.131,29.148,37.50817729,0.177825296,0.133634777,0.208200927,0.631852767,27.859,0.02918559,-0.048164366,27.82981441,0.262580329,0.348722227,1.308495249,1.394061496,13,8,186.2791031
4132,4133,Plot1089,2020,6182020,33.847,44.673,27.613,36.07295435,0.184913067,0.1378757,0.212662306,0.61811385,27.886,0.025560382,-0.056672289,27.86043962,0.270607236,0.362100072,1.319851095,1.412421536,13,9,179.3186475
4133,4134,Plot109,2020,6182020,25.164,35.391,22.186,28.15414933,0.198354383,0.168887788,0.266543303,0.626882541,23.432,-0.001950665,-0.052339227,23.43395067,0.328408356,0.383383042,1.406413925,1.466656732,62,9,227.5369922
4134,4135,Plot1090,2020,6182020,33.955,45.286,28.761,36.65587239,0.181723292,0.142994157,0.224465135,0.635096939,27.856,0.020842207,-0.046486176,27.83515779,0.280257791,0.354839628,1.333706376,1.409514166,13,10,176.9682642
4135,4136,Plot1091,2020,6182020,33.715,44.854,28.538,36.34556362,0.180671356,0.141773473,0.222641962,0.63624203,27.455,0.021912667,-0.045756113,27.43308733,0.277960028,0.352961847,1.330387068,1.406329515,13,11,185.4344771
4136,4137,Plot1092,2020,6182020,34.856,45.327,28.71,36.94022994,0.175645182,0.130588778,0.203427039,0.633397313,27.088,0.031879,-0.047138016,27.056121,0.256798265,0.344921117,1.30040739,1.387179937,13,12,187.4892977
4137,4138,Plot1093,2020,6182020,32.971,44.442,28.09,35.82934693,0.185554703,0.148179246,0.232568984,0.632059763,27.823,0.01627821,-0.048491512,27.80672179,0.289991132,0.361546626,1.347911801,1.421777844,13,13,181.2189476
4138,4139,Plot1094,2020,6182020,33.867,45.66,28.715,36.7711867,0.186729217,0.14828926,0.232090845,0.628887429,28.738,0.016202583,-0.050433288,28.72179742,0.29019717,0.363829213,1.348215077,1.42437582,13,14,181.0624664
4139,4140,Plot1095,2020,6182020,34.162,45.249,29.018,36.77208438,0.177761293,0.139615419,0.220010716,0.64129594,27.318,0.023774083,-0.042643573,27.29422592,0.273892007,0.347559671,1.324541889,1.398515689,13,15,182.1845311
4140,4141,Plot1096,2020,6182020,34.257,45.472,28.913,36.86555032,0.180217242,0.140663999,0.220698205,0.635841837,27.774,0.022899063,-0.045965649,27.75110094,0.275869544,0.352246027,1.327378346,1.404501585,13,16,186.1588352
4141,4142,Plot1097,2020,6182020,34.132,45.769,29.111,37.00110406,0.182806675,0.145642733,0.229119905,0.636041862,28.295,0.018491542,-0.045991267,28.27650846,0.285235114,0.356553,1.340941052,1.413909208,13,17,188.8373934
4142,4143,Plot1098,2020,6182020,33.738,45.38,28.84,36.64852268,0.183790059,0.147147299,0.231552568,0.635522257,28.182,0.017165935,-0.046351359,28.16483407,0.288057483,0.358250559,1.34507084,1.41719782,13,18,188.2660713
4143,4144,Plot1099,2020,6182020,33.466,45.573,29.067,36.70495867,0.186186792,0.153177545,0.242275674,0.637811862,28.613,0.011834681,-0.04513348,28.60116532,0.299331762,0.362054813,1.361770155,1.427199251,13,19,182.7339639
4144,4145,Plot11,2020,6182020,32.671,44.742,28.558,35.98518292,0.187475533,0.155929883,0.247078088,0.638281704,28.255,0.009412009,-0.044925498,28.24558799,0.304457155,0.364183072,1.369471397,1.432226485,67,11,223.6941041
4145,4146,Plot110,2020,6182020,24.707,35.342,21.959,27.9385665,0.204669791,0.177105364,0.279207141,0.621328731,24.018,-0.009172276,-0.056084772,24.02717228,0.343438335,0.394349603,1.430444813,1.487726813,62,10,224.2794638
4146,4147,Plot1100,2020,6182020,32.711,45.096,28.419,36.10770139,0.19205403,0.15917591,0.250769418,0.63018893,29.062,0.006584075,-0.049982114,29.05541592,0.310485068,0.372574173,1.378618813,1.444726089,13,20,185.4177007
