Extract_GALa_Yld_Mass_D,Plot
11280.91015625,999
10789.630425347,1000
12275.215386285,1001
11643.570638021,1002
13614.132595486,1003
11724.395399306,1004
11101.721028646,1005
10845.934027778,1006
11797.019097222,1007
12483.903211806,1008
11273.887044271,1009
11463.400065104,1010
11557.928602431,1011
12472.266113281,1012
11145.806423611,1013
11567.405598958,1014
10190.087782118,1015
10781.449978299,1016
10518.359700521,1017
10948.857584635,1018
10906.442165799,1019
11438.741427951,1020
10818.853732639,1021
11139.557725694,1022
13442.608181424,1023
10819.24484592,1024
10696.946614583,1025
8242.661621094,1026
9294.012586806,1027
10007.652126736,1028
10964.743164062,1029
12457.534179688,1030
13048.201334635,1031
13016.004014757,1032
13125.877278646,1033
13057.903537326,1034
13291.736653646,1035
12926.172526042,1036
12533.74625651,1037
12007.769748264,1038
11715.793185764,1039
12448.913302951,1040
12900.654405382,1041
12674.549587674,1042
12335.456705729,1043
12383.811360677,1044
12857.644965278,1045
12885.796223958,1046
12517.662760417,1047
12352.579644097,1048
12117.212673611,1049
11640.142089844,1050
11716.978190104,1051
12447.232747396,1052
12431.919596354,1053
10517.754231771,1054
10037.439453125,1055
9107.444661458,1056
10049.382486979,1057
8517.791069878,1058
11452.897569444,1059
12495.951063368,1060
12682.36577691,1061
13266.309678819,1062
13510.169270833,1063
13764.543619792,1064
13319.72406684,1065
12936.895399306,1066
13257.454210069,1067
13401.554036458,1068
13011.774902344,1069
12195.392144097,1070
12168.132921007,1071
12278.940429688,1072
12423.179253472,1073
11945.77983941,1074
11888.227322049,1075
11324.471842448,1076
11378.56499566,1077
11409.615668403,1078
11225.562934028,1079
11119.797634549,1080
11137.659071181,1081
11597.723470052,1082
12285.037109375,1083
11660.453233507,1084
10397.487955729,1085
8852.090657552,1086
7355.048231337,1087
8497.29155816,1088
10439.118381076,1089
8867.629218207,1090
12892.143229167,1091
14921.126844618,1092
14709.893337674,1093
14056.358615451,1094
13659.874674479,1095
14083.727864583,1096
14155.662868924,1097
14077.898003472,1098
14144.401041667,1099
13716.450303819,1100
13323.83968099,1101
12922.737630208,1102
12424.939344618,1103
12958.473415799,1104
13645.217230903,1105
13142.738823785,1106
12209.034830729,1107
12095.208821615,1108
11997.892686632,1109
11809.698025174,1110
10962.467230903,1111
11525.553602431,1112
12449.983289931,1113
12715.201171875,1114
12344.325303819,1115
11470.975802951,1116
10073.468098958,1117
8672.307834201,1118
8042.456108941,1119
8999.716579861,1120
