Extract_GALa_Crop_Flw_V,Plot
1247.543863932,949
1176.692850749,950
1195.477478027,951
1243.887552897,952
1229.914306641,953
1335.224761963,954
1236.882141113,955
1236.698140462,956
1162.337544759,957
1141.002583822,958
964.210540771,959
666.07236735,960
1372.629882812,961
836.5362854,962
603.586468167,963
971.164265951,964
1155.132921007,965
1048.901685927,966
1252.153015137,967
1128.397827148,968
1188.922675239,969
1107.368204753,970
1107.42839898,971
1074.035563151,972
1124.975891113,973
1083.07425944,974
1128.248046875,975
1192.259507921,976
1136.586697049,977
1157.438964844,978
1192.659640842,979
1278.406962077,980
1147.490220812,981
1103.61831326,982
1067.999762641,983
1072.795939128,984
1049.487887912,985
1020.901387533,986
1055.129503038,987
1079.421820747,988
1066.561740451,989
972.771328396,990
861.715121799,991
721.977220323,992
1258.055365668,993
781.665001763,994
555.259085761,995
795.459540473,996
982.831007216,997
960.529039171,998
1086.205464681,999
1143.067837185,1000
1353.204549154,1001
1200.964063856,1002
1313.567328559,1003
1087.666395399,1004
1167.91212972,1005
1127.712287055,1006
1047.091274685,1007
1169.208346897,1008
1244.202223036,1009
1260.679511176,1010
1193.614142524,1011
1315.432779948,1012
1272.003621419,1013
1369.295071072,1014
1189.095757378,1015
1236.991780599,1016
1103.543911404,1017
1102.31729126,1018
985.199591743,1019
1257.844184028,1020
1176.204711914,1021
1018.121459961,1022
844.772488064,1023
908.305399577,1024
1119.920003255,1025
802.573384603,1026
762.429423014,1027
860.882982042,1028
1101.634290907,1029
1415.539455838,1030
1515.210611979,1031
1513.167236328,1032
1504.448608398,1033
1491.237887912,1034
1537.447197808,1035
1508.401991102,1036
1451.213358561,1037
1404.861735026,1038
1377.698269314,1039
1464.328830295,1040
1510.587632921,1041
1479.433892144,1042
1452.717081706,1043
1465.317789714,1044
1512.984903971,1045
1521.981947157,1046
1479.86452908,1047
1453.752197266,1048
1432.383992513,1049
1392.427266439,1050
1383.676378038,1051
1472.251519097,1052
1460.572007921,1053
1252.021620009,1054
916.588887533,1055
735.677734375,1056
1048.429056803,1057
753.993801541,1058
1078.124925401,1059
1311.139065213,1060
1483.889119466,1061
1555.73312717,1062
1370.724283854,1063
1591.118136936,1064
1586.346354167,1065
1543.677218967,1066
1579.588785807,1067
1600.30339898,1068
1551.412109375,1069
1463.55984158,1070
1460.897745768,1071
1487.849202474,1072
1502.752590603,1073
1455.800455729,1074
1443.518093533,1075
1358.029724121,1076
1361.340901693,1077
1362.701578776,1078
1324.111897786,1079
1299.728691949,1080
1293.402018229,1081
1342.720214844,1082
1412.347005208,1083
1339.216417101,1084
1189.506835938,1085
1036.646355523,1086
838.903191461,1087
770.754733615,1088
788.479383681,1089
595.924847921,1090
1445.371080187,1091
1742.656724718,1092
1757.077853733,1093
1698.160183377,1094
1636.813496908,1095
1699.934380425,1096
1732.364976671,1097
1720.065009223,1098
1724.865505642,1099
1683.798990885,1100
1627.079040527,1101
1588.844740126,1102
1549.233439128,1103
1625.952351888,1104
1714.528306749,1105
1639.000420464,1106
1524.850165473,1107
1491.236816406,1108
1479.97922092,1109
1455.774414062,1110
1316.870998806,1111
1313.658243815,1112
1392.307603624,1113
1403.95896403,1114
1357.74335395,1115
1262.987481011,1116
1112.655178494,1117
942.9465060760001,1118
790.678168403,1119
724.848571777,1120
