Extract_crop_fw_m,Plot
19.077093601,1139
19.542086601,1140
17.303940773,1141
14.570602179,1142
14.987009525,1143
17.076866627,1144
13.13529563,1145
15.528730392,1146
17.305167675,1147
17.84839344,1148
18.073216915,1149
18.697632313,1150
18.877231121,1151
18.700907707,1152
19.233548164,1153
19.73119545,1154
19.54060936,1155
19.711326122,1156
19.676533699,1157
19.203814507,1158
18.928859711,1159
19.503071308,1160
17.13728714,1161
13.900480509,1162
14.968136787,1163
17.806477547,1164
11.752024174,1165
16.605826855,1166
18.218007565,1167
18.470438957,1168
19.316754341,1169
19.350518703,1170
19.281482697,1171
19.178024292,1172
19.496375084,1173
19.61443758,1174
19.294653893,1175
19.210749149,1176
18.998136044,1177
18.946434021,1178
18.996275902,1179
19.773303509,1180
17.378018379,1181
13.419531345,1182
15.274027586,1183
18.354892731,1184
14.114129305,1185
15.698924541,1186
17.383468151,1187
18.745630741,1188
19.334106922,1189
19.275952816,1190
19.59619236,1191
20.011762619,1192
20.583399773,1193
20.671396255,1194
20.313189983,1195
19.445597649,1196
19.249103069,1197
19.864104271,1198
19.719761372,1199
20.445601463,1200
16.969235182,1201
13.233437061,1202
15.342874765,1203
18.905659199,1204
13.92961359,1205
14.895435333,1206
17.232858658,1207
18.67108202,1208
18.706303596,1209
18.264001846,1210
18.421855927,1211
19.109194756,1212
19.690988541,1213
19.426179409,1214
18.95798254,1215
18.217896938,1216
18.187852859,1217
18.953552723,1218
19.299553394,1219
20.375183582,1220
15.772357225,1221
13.276511431,1222
14.934719086,1223
17.887939453,1224
12.621005774,1225
15.347437143,1226
18.119121075,1227
19.268435955,1228
18.778356552,1229
18.176434994,1230
18.009257793,1231
18.547150612,1232
18.996858597,1233
18.475515842,1234
18.105800629,1235
17.794514656,1236
18.206314564,1237
18.939604759,1238
19.379437923,1239
20.375484467,1240
15.167712212,1241
13.228451014,1242
13.689682245,1243
16.227690458,1244
14.835844517,1245
17.328197002,1246
18.978206635,1247
19.632635117,1248
20.211475849,1249
20.367002964,1250
20.370654583,1251
19.818289757,1252
19.616797447,1253
20.086746693,1254
19.769465923,1255
19.442348003,1256
20.334879398,1257
20.804994583,1258
20.730673313,1259
20.783698082,1260
15.023958683,1261
12.74036026,1262
11.870046139,1263
13.122724533,1264
12.153845787,1265
15.6026299,1266
17.741559982,1267
18.574899673,1268
19.319007397,1269
20.024111271,1270
20.255010605,1271
19.522818565,1272
19.216259956,1273
19.527629852,1274
19.758395672,1275
19.597818375,1276
19.853363991,1277
20.226129055,1278
20.60289526,1279
20.930211544,1280
14.367921352,1281
11.88432312,1282
10.412471771,1283
10.030995846,1284
8.561464548,1285
