Extract_GALa2_dry_vol,Plot
243.072921753,475
240.50308609,476
238.202327728,477
239.242996216,478
238.710788727,479
233.966300964,480
146.57875824,481
141.20224762,482
140.319496155,483
157.28993988,484
170.406951904,485
193.785049438,486
216.011291504,487
224.617637634,488
229.061210632,489
232.585441589,490
237.38067627,491
243.707809448,492
245.600082397,493
244.691459656,494
241.78338623,495
238.780921936,496
236.975875854,497
239.958183289,498
241.609901428,499
236.640350342,500
146.691062927,501
138.331882477,502
143.756500244,503
158.016716003,504
169.258655548,505
188.608940125,506
211.100704193,507
219.516422272,508
224.498077393,509
227.932956696,510
232.990215302,511
239.331478119,512
241.37436676,513
240.240245819,514
238.403198242,515
237.269664764,516
236.997451782,517
238.878074646,518
240.144733429,519
236.590141296,520
151.622806549,521
144.604301453,522
147.486434937,523
161.408725739,524
172.235721588,525
193.811382294,526
214.767051697,527
221.524089813,528
223.905723572,529
226.326686859,530
230.634731293,531
236.747478485,532
239.376350403,533
238.937297821,534
238.035678864,535
236.99420929,536
234.585735321,537
232.666240692,538
230.938289642,539
231.302150726,540
158.211090088,541
156.220916748,542
157.2866745,543
166.928653717,544
174.966426849,545
201.227146149,546
222.348464966,547
226.80015564,548
228.030090332,549
229.257720947,550
232.661857605,551
236.528011322,552
238.735931396,553
240.748126984,554
241.658397675,555
238.376483917,556
233.658298492,557
226.643299103,558
221.052593231,559
223.198554993,560
162.464344025,561
162.595115662,562
167.761260986,563
172.06778717,564
177.610855103,565
200.082172394,566
220.120170593,567
225.129440308,568
227.261577606,569
229.09079361,570
231.713699341,571
233.008178711,572
234.325958252,573
237.804157257,574
241.642269135,575
241.229110718,576
237.767463684,577
229.341342926,578
222.637531281,579
224.715301514,580
163.729469299,581
163.403690338,582
165.593029022,583
172.291061401,584
178.48412323,585
198.630916595,586
219.167625427,587
226.667972565,588
231.476642609,589
234.051170349,590
234.829677582,591
235.455200195,592
236.369567871,593
238.006549835,594
239.562274933,595
239.672801971,596
237.810207367,597
232.313751221,598
228.319831848,599
230.802909851,600
164.505039215,601
163.254837036,602
161.349822998,603
169.345359802,604
178.119163513,605
202.426597595,606
222.751850128,607
229.593017578,608
235.292617798,609
239.39560318,610
240.360588074,611
240.131355286,612
239.950546265,613
239.297359467,614
236.493614197,615
234.007381439,616
234.961299896,617
233.843418121,618
232.453731537,619
233.342517853,620
167.068271637,621
165.909324646,622
163.214698792,623
171.268943787,624
179.915607452,625
207.494205475,626
228.816379547,627
231.172981262,628
234.118938446,629
238.106609344,630
239.504699707,631
238.451229095,632
237.195114136,633
235.742492676,634
232.947086334,635
231.664699554,636
233.35313797,637
236.310787201,638
235.605049133,639
231.153129578,640
171.038669586,641
170.230552673,642
165.332103729,643
171.882938385,644
181.153266907,645
213.35243988,646
234.515453339,647
238.447650909,648
236.572257996,649
235.982746124,650
235.325763702,651
232.945999146,652
231.57875824,653
231.907707214,654
233.469516754,655
234.165672302,656
234.294910431,657
235.406677246,658
235.097385406,659
229.8191185,660
173.635410309,661
171.37411499,662
168.240386963,663
177.836753845,664
185.574268341,665
212.517486572,666
233.456733704,667
237.967132568,668
235.887184143,669
233.476230621,670
232.490104675,671
230.839057922,672
230.031257629,673
231.783252716,674
235.241565704,675
235.885967255,676
232.772624969,677
230.294361115,678
229.465675354,679
227.749141693,680
175.328361511,681
172.910011292,682
173.01385498,683
185.662151337,684
187.575366974,685
207.79990387,686
225.285884857,687
229.916549683,688
230.207641602,689
231.498352051,690
234.196445465,691
234.180641174,692
233.155059814,693
234.233581543,694
236.272541046,695
235.42565155,696
229.819385529,697
225.33826828,698
224.601467133,699
227.150905609,700
178.471305847,701
179.318347931,702
179.942237854,703
181.950252533,704
182.391014099,705
202.27312088,706
222.134010315,707
228.235492706,708
230.826889038,709
234.733581543,710
239.181365967,711
239.033733368,712
236.384269714,713
235.82516098,714
236.857551575,715
236.313610077,716
231.34425354,717
228.527076721,718
230.35238266,719
232.824188232,720
180.745368958,721
184.786952972,722
185.123813629,723
178.947128296,724
178.813789368,725
201.914600372,726
222.410648346,727
228.968597412,728
232.09551239,729
236.401107788,730
241.020263672,731
241.093624115,732
238.695350647,733
236.521648407,734
235.352184296,735
234.136543274,736
231.573020935,737
231.834972382,738
235.527984619,739
237.611667633,740
181.70010376,741
186.611938477,742
192.272613525,743
187.355979919,744
183.101287842,745
205.317153931,746
223.525749207,747
229.891815186,748
231.555427551,749
234.838661194,750
238.921348572,751
238.8956604,752
237.523590088,753
236.746932983,754
235.165855408,755
232.526260376,756
230.408401489,757
231.667488098,758
234.868148804,759
238.278419495,760
180.803249359,761
187.843322754,762
199.394577026,763
199.224826813,764
193.259632111,765
209.66746521,766
227.35905838,767
232.138053894,768
231.341625214,769
231.894882202,770
233.390792847,771
231.984363556,772
232.461395264,773
235.905536652,774
238.880836487,775
236.562992096,776
233.048923492,777
230.992774963,778
231.82213974,779
235.170761108,780
179.211410522,781
189.666980743,782
207.703872681,783
208.866542816,784
199.811771393,785
214.196681976,786
229.999717712,787
234.453971863,788
231.649528503,789
227.496120453,790
224.079528809,791
220.379684448,792
222.849212646,793
230.958683014,794
239.221485138,795
239.601142883,796
236.992729187,797
234.491798401,798
233.664840698,799
235.726043701,800
175.996234894,801
189.871231079,802
208.675350189,803
206.248981476,804
197.994300842,805
213.554347992,806
227.130672455,807
232.06880188,808
232.137969971,809
226.288215637,810
221.244831085,811
218.588726044,812
221.574569702,813
228.048332214,814
232.794570923,815
234.337249756,816
238.869716644,817
243.290840149,818
243.389755249,819
242.610584259,820
173.363101959,821
184.966602325,822
195.898109436,823
199.054496765,824
207.076946259,825
217.656040192,826
