Extract_elev_2020,Plot
1156.269134521,530
1155.752563477,531
1155.164672852,532
1154.776550293,533
1154.311859131,534
1153.811706543,535
1153.315307617,536
1152.82321167,537
1152.364624023,538
1151.909881592,539
1151.537139893,540
1156.304840088,541
1155.80368042,542
1155.607971191,543
1156.649200439,544
1157.768554688,545
1158.311248779,546
1158.052093506,547
1157.511291504,548
1156.923248291,549
1156.328460693,550
1155.726989746,551
1155.177947998,552
1154.688415527,553
1154.324157715,554
1153.7890625,555
1153.279876709,556
1152.82800293,557
1152.373046875,558
1151.955535889,559
1151.537322998,560
1156.418029785,561
1155.727935791,562
1155.396728516,563
1156.337677002,564
1157.735961914,565
1158.430389404,566
1158.024993896,567
1157.422637939,568
1156.791137695,569
1156.213897705,570
1155.603271484,571
1155.030517578,572
1154.62677002,573
1154.142822266,574
1153.615631104,575
1153.144348145,576
1152.67401123,577
1152.26776123,578
1151.852081299,579
1151.382232666,580
1156.540557861,581
1155.718231201,582
1155.455657959,583
1156.428405762,584
1157.538269043,585
1158.196899414,586
1157.844909668,587
1157.189544678,588
1156.558227539,589
1155.934082031,590
1155.30456543,591
1154.700134277,592
1154.305664062,593
1153.860687256,594
1153.336730957,595
1152.877685547,596
1152.412445068,597
1152.007019043,598
1151.585632324,599
1151.123809814,600
1156.635620117,601
1155.752990723,602
1155.369140625,603
1156.264312744,604
1157.47958374,605
1158.099639893,606
1157.666870117,607
1157.008789062,608
1156.357269287,609
1155.693572998,610
1155.068603516,611
1154.464141846,612
1154.043151855,613
1153.610778809,614
1153.067443848,615
1152.618469238,616
1152.176483154,617
1151.774230957,618
1151.333679199,619
1150.908996582,620
1156.692871094,621
1155.867401123,622
1155.310058594,623
1156.11517334,624
1157.449645996,625
1158.0965271,626
1157.468353271,627
1156.831756592,628
1156.117584229,629
1155.445220947,630
1154.759094238,631
1154.166259766,632
1153.72668457,633
1153.263153076,634
1152.78036499,635
1152.271362305,636
1151.842376709,637
1151.445739746,638
1151.007873535,639
1150.608978271,640
1156.816925049,641
1156.03616333,642
1155.594696045,643
1156.356384277,644
1157.241394043,645
1157.854187012,646
1157.431915283,647
1156.663818359,648
1155.933624268,649
1155.223571777,650
1154.558837891,651
1153.882904053,652
1153.406494141,653
1153.027984619,654
1152.449707031,655
1151.959289551,656
1151.507324219,657
1151.077941895,658
1150.67578125,659
1150.248260498,660
1156.872344971,661
1156.218811035,662
1155.663665771,663
1156.455474854,664
1157.561553955,665
1157.96194458,666
1157.412506104,667
1156.691558838,668
1155.919250488,669
1155.221740723,670
1154.526123047,671
1153.818511963,672
1153.367736816,673
1152.920928955,674
1152.35168457,675
1151.83605957,676
1151.357727051,677
1150.941162109,678
1150.534912109,679
1150.131988525,680
1156.956817627,681
1156.416687012,682
1156.016082764,683
1156.710327148,684
1157.946868896,685
1158.187683105,686
1157.544250488,687
1156.828674316,688
1156.11819458,689
1155.360839844,690
1154.679077148,691
1153.997833252,692
1153.52911377,693
1153.020446777,694
1152.435424805,695
1151.891143799,696
1151.424102783,697
1150.977386475,698
1150.56060791,699
1150.15512085,700
1157.074279785,701
1156.325531006,702
1155.924163818,703
1156.93572998,704
1157.778198242,705
1158.153167725,706
1157.762176514,707
1157.040924072,708
1156.326599121,709
1155.638214111,710
1154.924713135,711
1154.256134033,712
1153.724731445,713
1153.236724854,714
1152.613647461,715
1152.077087402,716
1151.563934326,717
1151.086883545,718
1150.648864746,719
1150.236022949,720
1157.173492432,721
1156.465332031,722
1155.943359375,723
1156.908294678,724
1157.830413818,725
1158.267486572,726
1157.738494873,727
1157.099090576,728
1156.431152344,729
1155.774719238,730
1155.079498291,731
1154.393920898,732
1153.883300781,733
1153.365936279,734
1152.737792969,735
1152.179840088,736
1151.657562256,737
1151.148803711,738
1150.664672852,739
1150.236358643,740
1157.359924316,741
1156.353210449,742
1156.01574707,743
1156.736022949,744
1157.906311035,745
1158.151428223,746
1157.626586914,747
1157.001525879,748
1156.391723633,749
1155.69317627,750
1155.044372559,751
1154.334594727,752
1153.79309082,753
1153.317138672,754
1152.675292969,755
1152.092346191,756
1151.546936035,757
1151.039672852,758
1150.56048584,759
1150.097106934,760
1157.260314941,761
1156.450561523,762
1155.974365234,763
1156.669250488,764
1157.68850708,765
1158.000549316,766
1157.541717529,767
1156.94744873,768
1156.309936523,769
1155.658172607,770
1154.994720459,771
1154.287322998,772
1153.774169922,773
1153.235473633,774
1152.615966797,775
1152.022674561,776
1151.480621338,777
1150.970977783,778
1150.473114014,779
1150.028198242,780
1157.233184814,781
1156.52432251,782
1156.307830811,783
1156.906585693,784
1158.050994873,785
1158.264862061,786
1157.807098389,787
1157.206878662,788
1156.527435303,789
1155.891113281,790
1155.219329834,791
1154.539550781,792
1154.006896973,793
1153.493499756,794
1152.817382812,795
1152.211883545,796
1151.701873779,797
1151.166870117,798
1150.678833008,799
1150.231842041,800
1157.322875977,801
1156.709411621,802
1156.328369141,803
1157.3800354,804
1158.217041016,805
1158.716278076,806
1158.208374023,807
1157.622192383,808
1157.009521484,809
1156.328948975,810
1155.657165527,811
1154.987731934,812
1154.498046875,813
1153.952728271,814
1153.235198975,815
1152.657409668,816
1152.126556396,817
1151.620025635,818
1151.108917236,819
1150.573394775,820
1157.418579102,821
1156.747314453,822
1156.421295166,823
1157.322357178,824
1158.481384277,825
1158.960540771,826
1158.543823242,827
1157.986602783,828
1157.372711182,829
1156.746185303,830
1156.064880371,831
1155.385162354,832
1154.80291748,833
1154.333526611,834
1153.647277832,835
1153.009155273,836
1152.486358643,837
1151.961547852,838
1151.432891846,839
1150.907104492,840
1157.534484863,841
1156.619537354,842
1156.20022583,843
1157.142425537,844
1158.396972656,845
1158.995544434,846
1158.622894287,847
1158.100494385,848
1157.522399902,849
1156.888397217,850
1156.187896729,851
1155.473693848,852
1154.946960449,853
1154.378204346,854
1153.724029541,855
1153.098999023,856
1152.533294678,857
1151.999816895,858
1151.475402832,859
1150.982635498,860
1157.653686523,861
1156.702575684,862
1156.122802734,863
1157.152282715,864
1158.665405273,865
1159.227996826,866
1158.87902832,867
1158.333068848,868
1157.738830566,869
1157.100189209,870
1156.38168335,871
1155.640838623,872
1155.124206543,873
1154.585327148,874
1153.858184814,875
1153.265869141,876
1152.647827148,877
1152.102935791,878
1151.582183838,879
1151.06463623,880
1157.685668945,881
1156.869232178,882
1156.32434082,883
1157.438537598,884
1158.71875,885
1159.463134766,886
1159.201019287,887
1158.684692383,888
1158.084228516,889
1157.421020508,890
1156.70010376,891
1155.961029053,892
1155.438598633,893
1154.862762451,894
1154.179077148,895
1153.517669678,896
1152.886779785,897
1152.321258545,898
1151.78112793,899
1151.25604248,900
1157.79473877,901
1157.023498535,902
1156.577148438,903
1157.73147583,904
1159.022583008,905
1159.741210938,906
1159.472961426,907
1158.928588867,908
1158.33782959,909
1157.685333252,910
1156.938232422,911
1156.176818848,912
1155.685241699,913
1155.114074707,914
1154.379577637,915
1153.68347168,916
1153.047210693,917
1152.432067871,918
1151.930297852,919
1151.397949219,920
1157.768371582,921
1157.095550537,922
1156.626495361,923
1157.952972412,924
1159.37612915,925
1159.978790283,926
1159.567993164,927
1159.004577637,928
1158.388916016,929
1157.699462891,930
1156.965393066,931
1156.235229492,932
1155.67010498,933
1155.100341797,934
1154.362579346,935
1153.659484863,936
1152.990112305,937
1152.41394043,938
1151.848236084,939
1151.351623535,940
1157.680175781,941
1157.009918213,942
1156.761749268,943
1157.944152832,944
1159.183837891,945
1159.643859863,946
1159.436431885,947
1158.847076416,948
1158.218200684,949
1157.534179688,950
1156.806274414,951
1156.067138672,952
1155.466918945,953
1154.926635742,954
1154.188659668,955
1153.48916626,956
1152.867156982,957
1152.266143799,958
1151.707702637,959
1151.295806885,960
1157.559448242,961
1156.850006104,962
1156.354217529,963
1157.5390625,964
1158.779083252,965
1159.429870605,966
1159.196655273,967
1158.596069336,968
1157.993255615,969
1157.312744141,970
1156.579284668,971
1155.839263916,972
1155.298278809,973
1154.77230835,974
1154.053527832,975
1153.360656738,976
1152.757507324,977
1152.21395874,978
1151.709747314,979
1151.259857178,980
1157.384399414,981
1156.581878662,982
1156.374633789,983
1157.273620605,984
1158.735748291,985
1159.382476807,986
1158.940124512,987
1158.402557373,988
1157.781707764,989
1157.10760498,990
1156.409301758,991
1155.709716797,992
1155.200439453,993
1154.6746521,994
1154.002929688,995
1153.383178711,996
1152.784423828,997
1152.221313477,998
1151.76763916,999
1151.290283203,1000
1157.193878174,1001
1156.500518799,1002
1156.012664795,1003
1156.868988037,1004
1157.644592285,1005
1157.959106445,1006
1157.762695312,1007
1157.30557251,1008
1156.653564453,1009
1155.990081787,1010
1155.290313721,1011
1154.617126465,1012
1154.195068359,1013
1153.61807251,1014
1152.998779297,1015
1152.425720215,1016
1151.811340332,1017
1151.213195801,1018
1150.70413208,1019
1150.25994873,1020
1157.022277832,1021
1156.312988281,1022
1155.6953125,1023
1156.019226074,1024
1156.548156738,1025
1156.432617188,1026
1156.483154297,1027
1155.673400879,1028
