Plot,Dry_yld_22
716,13982.892225477
717,14093.163378906
718,14269.592610677
719,14392.319118924
720,14312.247856988
721,14346.336360677
722,14519.324110243
723,14739.508951823
724,14790.993109809
725,14648.52734375
726,14610.655273438
727,14749.65741645
728,14863.910970052
729,14849.064941406
730,14741.372802734
731,14473.72664388
732,14235.92046441
733,14203.08359375
734,14224.47132704
735,14366.50789388
736,14572.613796658
737,14664.263769531
738,14605.596652561
739,14551.264729818
740,14472.697292752
741,14355.08577474
742,14201.361246745
743,13873.539116753
744,13380.621771918
745,12430.546028646
746,13292.661892361
747,13695.809787326
748,13915.6796875
749,14186.681830512
750,14395.89070638
751,14436.734022352
752,14428.70016276
753,14526.35812717
754,14678.719048394
755,14679.339002821
756,14588.485514323
757,14534.452121311
758,14681.843885634
759,14785.359592014
760,14738.158723958
761,14606.229465061
762,14471.432834201
763,14354.465874566
764,14360.657714844
765,14301.546196832
766,14293.461561415
767,14396.831651476
768,14475.312695313
769,14485.091064453
770,14429.73046875
771,14409.959011502
772,14436.004915365
773,14352.020914714
774,13939.481174045
775,13202.994574653
776,12038.035481771
777,12855.567084418
778,13479.325249566
779,13827.789192708
780,14109.940863715
781,14391.714463976
782,14526.610324436
783,14484.987011719
784,14473.820529514
785,14517.335232205
786,14479.872965495
787,14450.688964844
788,14366.892550998
789,14428.60305447
790,14497.978597005
791,14541.532096354
792,14483.122314453
793,14457.989800347
794,14483.127332899
795,14565.183691406
796,14522.293809679
797,14357.364122179
798,14332.984863281
799,14428.912890625
800,14429.084364149
801,14312.579806858
802,14331.067192925
803,14504.724121094
804,14527.252549913
805,14080.9921875
806,13238.409098307
807,11588.332148437
808,12533.833789062
809,13432.870638021
810,13815.31828125
811,14062.010286458
812,14339.015559896
813,14549.755143229
814,14570.496875
815,14437.180240885
816,14310.342903646
817,14222.768977865
818,14240.11390625
819,14203.752636719
820,14192.423307292
821,14252.297591146
822,14404.86625
823,14432.615657552
824,14382.663378906
825,14473.073925781
826,14616.507265625
827,14629.629101563
828,14397.493945313
829,14276.535253906
830,14370.485390625
831,14389.283203125
832,14221.504329427
833,14166.459505208
834,14401.545742188
835,14484.410091146
836,14028.438639323
837,13214.501497396
838,11680.290429688
839,12814.997721354
840,13548.553629557
841,13864.569563802
842,14013.26828342
843,14286.003445095
844,14563.686903212
845,14662.147428385
846,14487.170817057
847,14180.231852214
848,13965.931857639
849,14044.052311198
850,14097.113661024
851,14091.547960069
852,14169.723090278
853,14343.559798177
854,14392.604085286
855,14318.298719618
856,14321.662760417
857,14516.787239583
858,14574.949435764
859,14314.466281467
860,14114.441460503
861,14188.99860026
862,14254.690755208
863,14081.455485026
864,13975.479248047
865,14142.104557292
866,14189.80094401
867,13716.732259115
868,12888.326551649
869,12266.732259115
870,13207.461805556
871,13744.324869792
872,13886.488541667
873,14007.647379557
874,14272.55335829
875,14548.753255208
876,14636.851888021
877,14528.36867947
878,14126.591064453
879,13797.778266059
880,13913.184440104
881,14058.393853082
882,14072.08336046
883,14138.647705078
884,14258.310872396
885,14275.854383681
886,14174.368001302
887,14115.779541016
888,14317.180859375
889,14411.209201389
890,14128.229790582
891,13818.404513889
892,13895.557552083
893,14002.573784722
894,13887.73952908
895,13819.388156467
896,13829.003157552
897,13702.051161024
898,12972.975450304
899,12159.632758247
900,12435.247688802
901,13070.899088542
902,13317.076904297
903,13645.983072917
904,13908.535915799
905,14149.812608507
906,14314.179172092
907,14384.495182292
908,14272.308539497
909,13931.387098524
910,13709.280300564
911,13816.482389323
912,13935.813232422
913,13930.929144965
914,13942.954427083
915,13971.217675781
916,13979.917154948
917,13894.054280599
918,13908.854112413
919,14096.860091146
920,14170.322048611
921,13886.692843967
922,13486.283311632
923,13487.737825521
924,13700.184190538
925,13726.886990017
926,13649.128228082
927,13452.924739583
928,12935.755723741
929,11851.270046658
930,11089.488959418
931,12009.189804688
932,11989.606705729
933,12283.157389323
934,13123.0790625
935,13741.121582031
936,13927.894205729
937,13883.821549479
938,13805.546757813
939,13693.056119792
940,13446.561165365
941,13381.491861979
942,13568.70921875
