OID_,FID,X,Y,Extract_GALa2_dry_vol
229,228,-93.539203609999987,44.065337769999999,208.600131989000005
230,229,-93.539203609999987,44.065299169999989,201.602909087999990
231,230,-93.539203609999987,44.065260569999992,198.976783751999989
232,231,-93.539203609999987,44.065221970000003,200.502281189000001
233,232,-93.539203609999987,44.065183370000000,204.720581054999997
234,233,-93.539203609999987,44.065144769999989,210.264553070000005
235,234,-93.539203609999987,44.065106169999993,216.844764709000003
236,235,-93.539203609999987,44.065067569999997,220.448390961000001
237,236,-93.539203609999987,44.065028970000000,221.276851654000012
238,237,-93.539203609999987,44.064990369999990,221.588584900000001
239,238,-93.539203609999987,44.064951769999986,220.742702484000006
240,239,-93.539203609999987,44.064913169999997,219.808525085000014
241,240,-93.539165010000019,44.065646569999991,189.590072631999988
242,241,-93.539165010000019,44.065607969999988,186.309738159000005
243,242,-93.539165010000019,44.065569369999992,174.622005462999994
244,243,-93.539165010000019,44.065530769999995,176.058578490999992
245,244,-93.539165010000019,44.065492169999999,184.914913176999988
246,245,-93.539165010000019,44.065453569999981,205.248271942000002
247,246,-93.539165010000019,44.065414969999992,226.246322631999988
248,247,-93.539165010000019,44.065376369999996,229.763820648000006
249,248,-93.539165010000019,44.065337769999999,225.870986937999987
250,249,-93.539165010000019,44.065299169999989,222.596458434999988
251,250,-93.539165010000019,44.065260569999992,221.011707306000005
252,251,-93.539165010000019,44.065221970000003,221.924125671000013
253,252,-93.539165010000019,44.065183370000000,222.763786315999994
254,253,-93.539165010000019,44.065144769999989,223.779106140000010
255,254,-93.539165010000019,44.065106169999993,225.329467773000005
256,255,-93.539165010000019,44.065067569999997,225.889297484999986
257,256,-93.539165010000019,44.065028970000000,228.795257568000011
258,257,-93.539165010000019,44.064990369999990,229.664150237999991
259,258,-93.539165010000019,44.064951769999986,227.703285217000001
260,259,-93.539165010000019,44.064913169999997,225.660316467000001
261,260,-93.539126409999980,44.065646569999991,189.873806000000002
262,261,-93.539126409999980,44.065607969999988,184.081245421999995
263,262,-93.539126409999980,44.065569369999992,175.282516479000009
264,263,-93.539126409999980,44.065530769999995,186.694664001000007
265,264,-93.539126409999980,44.065492169999999,207.018352509000010
266,265,-93.539126409999980,44.065453569999981,225.504234314000001
267,266,-93.539126409999980,44.065414969999992,238.389427184999988
