OID_,FID,X,Y,Extract_GALa2_dry_mass
184,183,-93.539280810000008,44.065530769999995,9532.669433593999202
185,184,-93.539280810000008,44.065492169999999,9788.671386718999202
186,185,-93.539280810000008,44.065453569999981,10116.272949218999202
187,186,-93.539280810000008,44.065414969999992,10377.030761718999202
188,187,-93.539280810000008,44.065376369999996,9993.446289061999778
189,188,-93.539280810000008,44.065337769999999,9412.166992188000222
190,189,-93.539280810000008,44.065299169999989,9004.407470702999490
191,190,-93.539280810000008,44.065260569999992,8845.419189452999490
192,191,-93.539280810000008,44.065221970000003,9198.708496093999202
193,192,-93.539280810000008,44.065183370000000,9716.722167968999202
194,193,-93.539280810000008,44.065144769999989,10371.614013672000510
195,194,-93.539280810000008,44.065106169999993,11416.331298827999490
196,195,-93.539280810000008,44.065067569999997,12172.236083984000288
197,196,-93.539280810000008,44.065028970000000,12552.392822265999712
198,197,-93.539280810000008,44.064990369999990,12642.218261718999202
199,198,-93.539280810000008,44.064951769999986,12675.745605468999202
200,199,-93.539280810000008,44.064913169999997,12762.972167968999202
201,200,-93.539242209999998,44.065646569999991,10623.582519531000798
202,201,-93.539242209999998,44.065607969999988,10306.137207031000798
203,202,-93.539242209999998,44.065569369999992,9385.509277343999202
204,203,-93.539242209999998,44.065530769999995,9180.925781250000000
205,204,-93.539242209999998,44.065492169999999,9316.435546875000000
206,205,-93.539242209999998,44.065453569999981,9944.141113281000798
207,206,-93.539242209999998,44.065414969999992,10840.871093750000000
208,207,-93.539242209999998,44.065376369999996,10893.150878906000798
209,208,-93.539242209999998,44.065337769999999,10451.639160156000798
210,209,-93.539242209999998,44.065299169999989,10091.085449218999202
211,210,-93.539242209999998,44.065260569999992,9919.466308593999202
212,211,-93.539242209999998,44.065221970000003,10176.838378906000798
213,212,-93.539242209999998,44.065183370000000,10488.364257811999778
214,213,-93.539242209999998,44.065144769999989,11158.337402343999202
215,214,-93.539242209999998,44.065106169999993,11871.954589843999202
216,215,-93.539242209999998,44.065067569999997,12236.187988281000798
217,216,-93.539242209999998,44.065028970000000,12374.630859375000000
218,217,-93.539242209999998,44.064990369999990,12425.084472656000798
219,218,-93.539242209999998,44.064951769999986,12443.986328125000000
220,219,-93.539242209999998,44.064913169999997,12472.837402343999202
221,220,-93.539203609999987,44.065646569999991,10600.944091797000510
222,221,-93.539203609999987,44.065607969999988,10384.560058593999202
223,222,-93.539203609999987,44.065569369999992,9538.187011718999202
224,223,-93.539203609999987,44.065530769999995,9186.181152343999202
225,224,-93.539203609999987,44.065492169999999,9390.498046875000000
226,225,-93.539203609999987,44.065453569999981,10325.677490234000288
227,226,-93.539203609999987,44.065414969999992,11620.801269531000798
228,227,-93.539203609999987,44.065376369999996,11980.640136718999202
229,228,-93.539203609999987,44.065337769999999,11681.621093750000000
230,229,-93.539203609999987,44.065299169999989,11289.775634765999712
231,230,-93.539203609999987,44.065260569999992,11142.712158202999490
232,231,-93.539203609999987,44.065221970000003,11228.141845702999490
233,232,-93.539203609999987,44.065183370000000,11464.366210938000222
234,233,-93.539203609999987,44.065144769999989,11774.828613281000798
235,234,-93.539203609999987,44.065106169999993,12143.321044922000510
236,235,-93.539203609999987,44.065067569999997,12345.125244140999712
237,236,-93.539203609999987,44.065028970000000,12391.518554688000222
238,237,-93.539203609999987,44.064990369999990,12408.975830077999490
239,238,-93.539203609999987,44.064951769999986,12361.605957031000798
240,239,-93.539203609999987,44.064913169999997,12309.291992188000222
241,240,-93.539165010000019,44.065646569999991,10617.056152343999202
242,241,-93.539165010000019,44.065607969999988,10433.357421875000000
243,242,-93.539165010000019,44.065569369999992,9778.843994140999712
244,243,-93.539165010000019,44.065530769999995,9859.292480468999202
245,244,-93.539165010000019,44.065492169999999,10355.246582031000798
246,245,-93.539165010000019,44.065453569999981,11493.916015625000000
247,246,-93.539165010000019,44.065414969999992,12669.808349609000288
248,247,-93.539165010000019,44.065376369999996,12866.788818359000288
249,248,-93.539165010000019,44.065337769999999,12648.789794922000510
250,249,-93.539165010000019,44.065299169999989,12465.415771484000288
251,250,-93.539165010000019,44.065260569999992,12376.669921875000000
252,251,-93.539165010000019,44.065221970000003,12427.765869140999712
253,252,-93.539165010000019,44.065183370000000,12474.787597656000798
254,253,-93.539165010000019,44.065144769999989,12531.644775390999712
255,254,-93.539165010000019,44.065106169999993,12618.465332031000798
256,255,-93.539165010000019,44.065067569999997,12649.815673827999490
257,256,-93.539165010000019,44.065028970000000,12812.549072265999712
258,257,-93.539165010000019,44.064990369999990,12861.207763672000510
259,258,-93.539165010000019,44.064951769999986,12751.399169922000510
260,259,-93.539165010000019,44.064913169999997,12636.991943359000288
261,260,-93.539126409999980,44.065646569999991,10632.945312500000000
262,261,-93.539126409999980,44.065607969999988,10308.561767577999490
263,262,-93.539126409999980,44.065569369999992,9815.832275390999712
264,263,-93.539126409999980,44.065530769999995,10454.913330077999490
265,264,-93.539126409999980,44.065492169999999,11593.041259765999712
266,265,-93.539126409999980,44.065453569999981,12628.251708984000288
267,266,-93.539126409999980,44.065414969999992,13349.823486327999490
268,267,-93.539126409999980,44.065376369999996,13414.282714843999202
