OID_,FID,X,Y,Extract_GALa1_crp_fw_v
235,234,-93.539203609999987,44.065106169999993,1579.819610596000075
236,235,-93.539203609999987,44.065067569999997,1593.614837646000069
237,236,-93.539203609999987,44.065028970000000,1567.232208251999964
238,237,-93.539203609999987,44.064990369999990,1582.862152100000003
239,238,-93.539203609999987,44.064951769999986,1590.989593505999892
240,239,-93.539203609999987,44.064913169999997,1571.116485596000075
241,240,-93.539165010000019,44.065646569999991,1264.196075438999969
242,241,-93.539165010000019,44.065607969999988,1344.373107910000044
243,242,-93.539165010000019,44.065569369999992,1143.959686278999925
244,243,-93.539165010000019,44.065530769999995,1079.671936035000044
245,244,-93.539165010000019,44.065492169999999,1022.922195435000049
246,245,-93.539165010000019,44.065453569999981,1359.488281250000000
247,246,-93.539165010000019,44.065414969999992,1666.498291015999939
248,247,-93.539165010000019,44.065376369999996,1771.636108398000033
249,248,-93.539165010000019,44.065337769999999,1735.735626221000075
250,249,-93.539165010000019,44.065299169999989,1676.941528320000089
251,250,-93.539165010000019,44.065260569999992,1670.053344726999967
252,251,-93.539165010000019,44.065221970000003,1689.243835449000017
253,252,-93.539165010000019,44.065183370000000,1666.884704589999956
254,253,-93.539165010000019,44.065144769999989,1655.244323729999905
255,254,-93.539165010000019,44.065106169999993,1659.590515137000011
256,255,-93.539165010000019,44.065067569999997,1672.253295898000033
257,256,-93.539165010000019,44.065028970000000,1733.851898192999897
258,257,-93.539165010000019,44.064990369999990,1743.502685547000056
259,258,-93.539165010000019,44.064951769999986,1681.502563476999967
260,259,-93.539165010000019,44.064913169999997,1646.867919922000056
261,260,-93.539126409999980,44.065646569999991,1296.580749512000011
262,261,-93.539126409999980,44.065607969999988,1275.977020263999975
263,262,-93.539126409999980,44.065569369999992,1141.015350341999920
264,263,-93.539126409999980,44.065530769999995,1210.711914062000005
265,264,-93.539126409999980,44.065492169999999,1055.666564940999933
266,265,-93.539126409999980,44.065453569999981,1450.715576172000056
267,266,-93.539126409999980,44.065414969999992,1634.825683594000111
268,267,-93.539126409999980,44.065376369999996,1652.362365723000039
269,268,-93.539126409999980,44.065337769999999,1621.531616211000028
270,269,-93.539126409999980,44.065299169999989,1625.379974364999953
271,270,-93.539126409999980,44.065260569999992,1623.709472655999889
272,271,-93.539126409999980,44.065221970000003,1603.778045653999925
273,272,-93.539126409999980,44.065183370000000,1607.451293945000089
274,273,-93.539126409999980,44.065144769999989,1633.153808594000111
275,274,-93.539126409999980,44.065106169999993,1621.671295165999936
276,275,-93.539126409999980,44.065067569999997,1588.735382079999908
277,276,-93.539126409999980,44.065028970000000,1629.136383057000103
278,277,-93.539126409999980,44.064990369999990,1666.628204346000075
279,278,-93.539126409999980,44.064951769999986,1645.515991211000028
280,279,-93.539126409999980,44.064913169999997,1634.794036864999953
281,280,-93.539087809999970,44.065646569999991,1281.662628174000019
282,281,-93.539087809999970,44.065607969999988,1200.507781982000097
283,282,-93.539087809999970,44.065569369999992,1074.718353271000069
284,283,-93.539087809999970,44.065530769999995,1221.269439697000053
285,284,-93.539087809999970,44.065492169999999,1042.040451050000001
286,285,-93.539087809999970,44.065453569999981,1391.484985351999967
287,286,-93.539087809999970,44.065414969999992,1550.416259765999939
288,287,-93.539087809999970,44.065376369999996,1510.030670165999936
289,288,-93.539087809999970,44.065337769999999,1482.616607665999936
290,289,-93.539087809999970,44.065299169999989,1529.931671142999903
291,290,-93.539087809999970,44.065260569999992,1550.051452637000011
292,291,-93.539087809999970,44.065221970000003,1527.916442871000072
293,292,-93.539087809999970,44.065183370000000,1527.636169434000067
294,293,-93.539087809999970,44.065144769999989,1543.949127197000053
295,294,-93.539087809999970,44.065106169999993,1531.090026854999905
296,295,-93.539087809999970,44.065067569999997,1496.044708251999964
297,296,-93.539087809999970,44.065028970000000,1506.952941895000095
298,297,-93.539087809999970,44.064990369999990,1539.546752929999911
299,298,-93.539087809999970,44.064951769999986,1553.828796387000011
300,299,-93.539087809999970,44.064913169999997,1572.056365966999920
301,300,-93.539049210000002,44.065646569999991,1266.462280273000033
302,301,-93.539049210000002,44.065607969999988,1158.910217285000044
303,302,-93.539049210000002,44.065569369999992,980.449645995999958
304,303,-93.539049210000002,44.065530769999995,1010.815856933999953
305,304,-93.539049210000002,44.065492169999999,921.018142699999999
306,305,-93.539049210000002,44.065453569999981,1218.115417479999905
307,306,-93.539049210000002,44.065414969999992,1472.445983887000011
308,307,-93.539049210000002,44.065376369999996,1465.991577148000033
309,308,-93.539049210000002,44.065337769999999,1458.217712401999961
310,309,-93.539049210000002,44.065299169999989,1477.405609130999892
311,310,-93.539049210000002,44.065260569999992,1526.829376221000075
312,311,-93.539049210000002,44.065221970000003,1552.198669434000067
313,312,-93.539049210000002,44.065183370000000,1506.348815917999900
314,313,-93.539049210000002,44.065144769999989,1445.919738770000095
315,314,-93.539049210000002,44.065106169999993,1448.787078857000097
316,315,-93.539049210000002,44.065067569999997,1496.460144042999900
317,316,-93.539049210000002,44.065028970000000,1496.131500244000108
318,317,-93.539049210000002,44.064990369999990,1441.864654540999936
319,318,-93.539049210000002,44.064951769999986,1451.270446776999961
320,319,-93.539049210000002,44.064913169999997,1495.124786376999964
321,320,-93.539010609999991,44.065646569999991,1259.286651611000025
322,321,-93.539010609999991,44.065607969999988,1147.677276611000025
323,322,-93.539010609999991,44.065569369999992,985.196670531999985
324,323,-93.539010609999991,44.065530769999995,1125.378997802999947
325,324,-93.539010609999991,44.065492169999999,1054.079071045000092
326,325,-93.539010609999991,44.065453569999981,1253.916107177999947
327,326,-93.539010609999991,44.065414969999992,1413.335418700999981
328,327,-93.539010609999991,44.065376369999996,1456.377532959000064
329,328,-93.539010609999991,44.065337769999999,1460.914062500000000
330,329,-93.539010609999991,44.065299169999989,1488.624359130999892
331,330,-93.539010609999991,44.065260569999992,1497.168853760000047
332,331,-93.539010609999991,44.065221970000003,1504.838531494000108
333,332,-93.539010609999991,44.065183370000000,1492.786254883000083
334,333,-93.539010609999991,44.065144769999989,1481.297607422000056
335,334,-93.539010609999991,44.065106169999993,1503.640258788999972
336,335,-93.539010609999991,44.065067569999997,1547.013427734000061
337,336,-93.539010609999991,44.065028970000000,1506.545715332000100
338,337,-93.539010609999991,44.064990369999990,1412.131713866999917
339,338,-93.539010609999991,44.064951769999986,1412.160064697000053
340,339,-93.539010609999991,44.064913169999997,1484.869476317999897
341,340,-93.538972010000009,44.065646569999991,1249.742919922000056
342,341,-93.538972010000009,44.065607969999988,1177.538543700999981
343,342,-93.538972010000009,44.065569369999992,879.154541016000053
344,343,-93.538972010000009,44.065530769999995,1087.362976074000017
345,344,-93.538972010000009,44.065492169999999,1020.651870727999949
