OID_,FID,X,Y,Extract_GALa2_moist
187,186,-93.539280810000008,44.065414969999992,17.280833244000000
188,187,-93.539280810000008,44.065376369999996,17.284519196000002
189,188,-93.539280810000008,44.065337769999999,17.272361278999998
190,189,-93.539280810000008,44.065299169999989,17.239890099000000
191,190,-93.539280810000008,44.065260569999992,17.180225371999999
192,191,-93.539280810000008,44.065221970000003,17.109771252000002
193,192,-93.539280810000008,44.065183370000000,17.081215858000000
194,193,-93.539280810000008,44.065144769999989,17.011403084000001
195,194,-93.539280810000008,44.065106169999993,16.921147822999998
196,195,-93.539280810000008,44.065067569999997,16.902780056000001
197,196,-93.539280810000008,44.065028970000000,16.870947360999999
198,197,-93.539280810000008,44.064990369999990,16.919536114000000
199,198,-93.539280810000008,44.064951769999986,17.000014782000001
200,199,-93.539280810000008,44.064913169999997,17.170589924000002
201,200,-93.539242209999998,44.065646569999991,17.172478676000001
202,201,-93.539242209999998,44.065607969999988,17.280876159999998
203,202,-93.539242209999998,44.065569369999992,17.676014899999998
204,203,-93.539242209999998,44.065530769999995,17.890130997000000
205,204,-93.539242209999998,44.065492169999999,17.803719521000001
206,205,-93.539242209999998,44.065453569999981,17.544723511000001
207,206,-93.539242209999998,44.065414969999992,17.446537971000001
208,207,-93.539242209999998,44.065376369999996,17.447446823000000
209,208,-93.539242209999998,44.065337769999999,17.427000999000001
210,209,-93.539242209999998,44.065299169999989,17.397413254000000
211,210,-93.539242209999998,44.065260569999992,17.350914001000000
212,211,-93.539242209999998,44.065221970000003,17.316915512000001
213,212,-93.539242209999998,44.065183370000000,17.277343750000000
214,213,-93.539242209999998,44.065144769999989,17.227784156999999
215,214,-93.539242209999998,44.065106169999993,17.143918036999999
216,215,-93.539242209999998,44.065067569999997,17.109796524000000
217,216,-93.539242209999998,44.065028970000000,17.081154822999999
218,217,-93.539242209999998,44.064990369999990,17.108908653000000
219,218,-93.539242209999998,44.064951769999986,17.218160629000000
220,219,-93.539242209999998,44.064913169999997,17.304115294999999
221,220,-93.539203609999987,44.065646569999991,17.182144165000000
222,221,-93.539203609999987,44.065607969999988,17.306338787000001
223,222,-93.539203609999987,44.065569369999992,17.675536156000000
224,223,-93.539203609999987,44.065530769999995,17.834225655000001
225,224,-93.539203609999987,44.065492169999999,17.786792755000000
226,225,-93.539203609999987,44.065453569999981,17.603302956000000
227,226,-93.539203609999987,44.065414969999992,17.654583931000001
228,227,-93.539203609999987,44.065376369999996,17.678033829000000
229,228,-93.539203609999987,44.065337769999999,17.680970192000000
230,229,-93.539203609999987,44.065299169999989,17.650771618000000
