,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
47,Plot1042,2021,6082021,96.693,120.16,91.45,103.5230479,0.121777143,0.108216165,0.187132684,0.761068575,52.177,0.049335232,0.025526836,52.12766477,0.213927086,0.240361266,1.242695955,1.265981199,3,18,212.6315786
48,Plot1043,2021,6082021,96.961,119.21,90.023,102.8212043,0.120910946,0.102923149,0.176372198,0.755163157,51.436,0.054003018,0.022280646,51.38199698,0.203688589,0.238987146,1.229463392,1.26023844,3,19,214.2020335
49,Plot1044,2021,6082021,101.54,123.73,95.427,107.5884083,0.113613709,0.098504017,0.170898701,0.77125192,50.493,0.057456103,0.030769854,50.4355439,0.195114828,0.224789268,1.218534568,1.243991734,3,20,205.3490251
50,Plot1045,2021,6082021,93.989,117.83,88.959,101.0470925,0.125922104,0.112553642,0.194050138,0.75497751,52.712,0.045730073,0.022317457,52.66626993,0.222291228,0.248268037,1.253657343,1.27683055,3,21,212.4850017
51,Plot1046,2021,6082021,100.46,121.56,95.501,106.4416682,0.107403873,0.095036483,0.16677337,0.785628496,47.159,0.060103111,0.038238101,47.09889689,0.188371607,0.212663906,1.210033844,1.230604808,3,22,214.2877107
52,Plot1047,2021,6082021,96.924,118.95,91.817,103.2371473,0.115223338,0.102031741,0.177547418,0.771895755,49.159,0.054416931,0.031179983,49.10458307,0.201960972,0.227774494,1.227250217,1.24957221,3,23,207.5510237
53,Plot1048,2021,6082021,101.76,124.2,97.269,108.3851096,0.110343764,0.099309612,0.174371168,0.783164251,49.371,0.056504831,0.037052987,49.31449517,0.196679493,0.218275341,1.220518868,1.23900249,3,24,205.8347392
54,Plot1049,2021,6082021,97.399,120.51,94.248,104.7089789,0.114113163,0.106058033,0.186889965,0.782076176,49.373,0.050771247,0.036639255,49.32222875,0.20975666,0.225420925,1.237281697,1.250905819,3,25,207.6030855
55,Plot105,2021,6082021,90.165,110.35,82.778,95.14733664,0.121320587,0.100665786,0.171441433,0.750140462,47.757,0.056058568,0.019552901,47.70094143,0.199311825,0.239982278,1.223867354,1.259204679,32,9,204.4382303
56,Plot1050,2021,6082021,97.183,120.21,92.5,104.0051755,0.117964767,0.105923374,0.184373824,0.769486732,50.737,0.051134424,0.029978089,50.68586558,0.20949625,0.2329798,1.236944733,1.257455628,3,26,219.8948739
57,Plot1051,2021,6082021,94.067,116.86,89.483,100.8498345,0.120233901,0.108061083,0.187683212,0.765728222,50.17,0.049378516,0.028015712,50.12062148,0.213627594,0.237335492,1.242306016,1.263146167,3,27,210.8345446
58,Plot1052,2021,6082021,94.137,116.55,89.396,100.7262331,0.118970413,0.106380555,0.184787,0.767018447,49.567,0.050791948,0.0286734,49.51620805,0.210380274,0.234935381,1.238089168,1.259578384,3,28,228.2750625
59,Plot1053,2021,6082021,95.157,118.26,92.552,102.6420235,0.115058141,0.108252857,0.191147148,0.782614578,48.811,0.048893189,0.03697368,48.76210681,0.213997941,0.227201055,1.242788234,1.254328892,3,29,202.66714
60,Plot1054,2021,6082021,96.362,118.85,93.824,103.6241615,0.111043596,0.104492315,0.185257192,0.789432057,47.514,0.051957701,0.040460011,47.4620423,0.206727446,0.219466824,1.233370001,1.244381284,3,30,173.9993637
61,Plot1055,2021,6082021,89.919,113.81,88.475,98.09173986,0.121242125,0.117268528,0.207289986,0.777392145,49.226,0.041329345,0.034410891,49.18467065,0.231355477,0.239002342,1.265694681,1.272536487,3,31,167.3700641
62,Plot1056,2021,6082021,96.049,119.44,95.049,104.124343,0.111126616,0.108548464,0.194212886,0.795788681,47.782,0.048395365,0.043887061,47.73360463,0.214568715,0.219555111,1.243531947,1.247873409,3,32,147.0979567
63,Plot1059,2021,6082021,94.194,113.13,83.157,97.61487794,0.121178561,0.091335301,0.152504289,0.735057014,48.909,0.064519194,0.011325353,48.84448081,0.181159346,0.240678459,1.201031913,1.251924047,2,3,197.7945574
64,Plot106,2021,6082021,88.659,110.35,81.216,94.22239549,0.130128656,0.108995071,0.184145068,0.735985501,50.825,0.049148363,0.011963244,50.77585164,0.215430839,0.25682127,1.244656493,1.281535259,32,10,200.6223837
65,Plot1060,2021,6082021,93.944,114.65,85.062,98.66718718,0.123177225,0.0992646,0.167616488,0.741927606,50.294,0.057453619,0.015108835,50.23654638,0.196592088,0.243832054,1.220407903,1.261445387,2,4,195.8548979
66,Plot1061,2021,6082021,95.22,116.24,88.47,100.6736094,0.117235745,0.099404143,0.170908204,0.761097729,48.79,0.056906612,0.02539926,48.73309339,0.196863045,0.231931927,1.220751943,1.251010141,2,5,210.3924321
67,Plot1062,2021,6082021,90.205,110.68,83.416,95.47291672,0.120864042,0.101923986,0.174301305,0.753668233,47.739,0.054896043,0.021464575,47.68410396,0.201752072,0.238969258,1.226982983,1.259372762,2,6,225.8158891
68,Plot1063,2021,6082021,86.181,108.18,80.895,92.50959984,0.128532532,0.113186287,0.193881868,0.747781475,49.284,0.045315633,0.018430116,49.23868437,0.223509168,0.253355872,1.255265082,1.282004554,2,7,237.7037389
69,Plot1064,2021,6082021,85.273,106.4,78.848,90.93853535,0.129149079,0.110224184,0.187254598,0.741052632,48.679,0.04798962,0.014738967,48.63101038,0.217802208,0.254777789,1.247757203,1.280734275,2,8,228.1018151
70,Plot1065,2021,6082021,86.458,107.52,79.86,92.03831768,0.127759218,0.108579323,0.184563347,0.742745536,48.722,0.049376639,0.015644286,48.67262336,0.214628293,0.25215233,1.243609614,1.276922497,2,9,240.1840082
71,Plot1066,2021,6082021,85.876,108.55,79.864,92.26058814,0.134155261,0.116620205,0.197919031,0.735734684,51.36,0.042569543,0.011883773,51.31743046,0.23011084,0.264179425,1.26403186,1.294954264,2,10,233.1831971
