Extract_GALa2_moist,Plot
16.157146454,993
16.101898193,994
16.060352325,995
16.047949314,996
16.037527084,997
16.013910532,998
16.005759478,999
16.04949379,1000
17.78097105,1001
17.684610367,1002
17.901661873,1003
17.772092342,1004
17.126425743,1005
16.566169739,1006
16.473908901,1007
16.478264332,1008
16.49731493,1009
16.499809742,1010
16.462675571,1011
16.415953636,1012
16.371092796,1013
16.380446911,1014
16.386171818,1015
16.35959959,1016
16.326880455,1017
16.313090801,1018
16.307682037,1019
16.334945202,1020
17.702334404,1021
17.604258537,1022
17.85602951,1023
17.933208466,1024
17.598501205,1025
17.124186516,1026
16.974801064,1027
17.031695366,1028
17.060090065,1029
17.002799034,1030
16.952236176,1031
16.924863815,1032
16.936321259,1033
16.934396744,1034
16.931157112,1035
16.924196243,1036
16.866782188,1037
16.854202271,1038
16.845351219,1039
16.867486954,1040
17.616550922,1041
17.591959953,1042
17.827204704,1043
18.030404091,1044
17.967636108,1045
17.83466959,1046
17.778203011,1047
17.791003704,1048
17.81215477,1049
17.769539356,1050
17.667331219,1051
17.619126797,1052
17.603565216,1053
17.6286726,1054
17.624055862,1055
17.564361572,1056
17.525896549,1057
17.515115738,1058
17.495959759,1059
17.471131325,1060
17.520367146,1061
17.510216236,1062
17.800041199,1063
18.171270847,1064
18.270068645,1065
18.223628998,1066
18.243330002,1067
18.240475178,1068
18.222195625,1069
18.204312801,1070
18.116881847,1071
18.072109222,1072
18.043041229,1073
18.047307014,1074
18.013998032,1075
17.986578941,1076
17.946568489,1077
17.933122635,1078
17.899655342,1079
17.879821777,1080
17.463284492,1081
17.38429451,1082
17.71034956,1083
18.169957161,1084
18.391438484,1085
18.31973362,1086
18.344242573,1087
18.351881981,1088
18.341787815,1089
18.299936771,1090
18.248255253,1091
18.201381683,1092
18.173242569,1093
18.142556667,1094
18.101283073,1095
18.058541775,1096
18.027949333,1097
17.999136448,1098
17.963368416,1099
17.922624588,1100
17.404607773,1101
17.279734612,1102
17.610785007,1103
17.915795803,1104
18.012521267,1105
17.941705227,1106
18.092868328,1107
18.220901012,1108
18.289829254,1109
18.295129299,1110
18.292036057,1111
18.299408436,1112
18.294852257,1113
18.264816761,1114
18.217708588,1115
18.166107655,1116
18.141878605,1117
18.125246525,1118
18.092803955,1119
18.067865372,1120
17.319791317,1121
17.132099152,1122
17.273842335,1123
17.406366825,1124
17.22702837,1125
17.008306026,1126
17.435196877,1127
17.857341766,1128
18.079051495,1129
18.190659523,1130
18.28622961,1131
18.346300602,1132
18.373084068,1133
18.370057583,1134
18.329566002,1135
18.293879986,1136
18.275357723,1137
18.27286911,1138
18.27388525,1139
18.280640602,1140
17.195210934,1141
16.946918011,1142
17.214753628,1143
17.433732986,1144
17.452759266,1145
17.30889082,1146
17.69014883,1147
18.001362324,1148
18.19294548,1149
18.291106701,1150
18.370975494,1151
18.420524597,1152
18.449910164,1153
18.441348076,1154
18.393550873,1155
18.337089062,1156
18.314863205,1157
18.32491827,1158
18.327989578,1159
18.327534676,1160
17.009037018,1161
16.769202709,1162
17.144417286,1163
17.6384902,1164
17.809707642,1165
17.782242298,1166
18.009763718,1167
18.219993114,1168
18.324229717,1169
18.355808735,1170
18.396747112,1171
18.450565815,1172
18.495718956,1173
18.475103855,1174
18.412978172,1175
18.346065998,1176
18.314320564,1177
18.310826778,1178
18.308817863,1179
18.28816843,1180
16.780453682,1181
16.60966444,1182
16.814424515,1183
17.255548954,1184
17.32694149,1185
17.068148613,1186
17.398056507,1187
17.787349224,1188
18.077031136,1189
18.177602291,1190
18.29519701,1191
18.389039516,1192
18.447709084,1193
18.451805115,1194
18.415663242,1195
18.366666794,1196
18.337041378,1197
18.329750538,1198
