OID_,FID,X,Y,Extract_GAL_Yld_Vol_Dr
283,282,-93.530786436763520,44.077005660989194,196.808156330999992
284,283,-93.530786436763520,44.076966660989186,196.037155151000007
285,284,-93.530786436763520,44.076927660989192,183.054446750000011
286,285,-93.530786436763520,44.076888660989191,179.670386420000000
287,286,-93.530786436763520,44.076849660989190,150.288411458000013
288,287,-93.530786436763520,44.076810660989189,114.636758592000007
289,288,-93.530747436763519,44.078019660989192,230.203475951999991
290,289,-93.530747436763519,44.077980660989198,220.073569404000011
291,290,-93.530747436763519,44.077941660989190,219.125907049999995
292,291,-93.530747436763519,44.077902660989189,230.165637545999999
293,292,-93.530747436763519,44.077863660989195,220.823657566000009
294,293,-93.530747436763519,44.077824660989201,230.243214924999990
295,294,-93.530747436763519,44.077785660989193,230.689147948999988
296,295,-93.530747436763519,44.077746660989192,228.214911567000001
297,296,-93.530747436763519,44.077707660989184,232.175599839999990
298,297,-93.530747436763519,44.077668660989190,241.336641100000008
299,298,-93.530747436763519,44.077629660989189,239.586407132000005
300,299,-93.530747436763519,44.077590660989195,232.107825385000012
301,300,-93.530747436763519,44.077551660989187,242.041676838999990
302,301,-93.530747436763519,44.077512660989193,246.006210326999991
303,302,-93.530747436763519,44.077473660989192,231.889565362000013
304,303,-93.530747436763519,44.077434660989191,227.165857950999992
305,304,-93.530747436763519,44.077395660989190,227.629492865999993
306,305,-93.530747436763519,44.077356660989189,222.515318129000008
307,306,-93.530747436763519,44.077317660989195,227.430942111999997
308,307,-93.530747436763519,44.077278660989194,229.989885966000003
309,308,-93.530747436763519,44.077239660989193,212.177820840999999
310,309,-93.530747436763519,44.077200660989192,219.376252915999999
311,310,-93.530747436763519,44.077161660989191,196.585049099000003
312,311,-93.530747436763519,44.077122660989197,196.626144409000005
313,312,-93.530747436763519,44.077083660989189,167.921568129000008
314,313,-93.530747436763519,44.077044660989195,179.929000854000009
315,314,-93.530747436763519,44.077005660989194,179.092876858000011
316,315,-93.530747436763519,44.076966660989186,176.675133598999992
317,316,-93.530747436763519,44.076927660989192,169.908079358999998
318,317,-93.530747436763519,44.076888660989191,167.832477146000002
319,318,-93.530747436763519,44.076849660989190,143.785096909999993
320,319,-93.530747436763519,44.076810660989189,111.575728522000006
321,320,-93.530708436763518,44.078019660989192,230.289258321000005
322,321,-93.530708436763518,44.077980660989198,225.295196532999995
323,322,-93.530708436763518,44.077941660989190,224.996462503999993
324,323,-93.530708436763518,44.077902660989189,239.775510152000010
325,324,-93.530708436763518,44.077863660989195,233.344032287999994
326,325,-93.530708436763518,44.077824660989201,242.404563904000014
327,326,-93.530708436763518,44.077785660989193,237.864868164000001
328,327,-93.530708436763518,44.077746660989192,233.298540750999990
329,328,-93.530708436763518,44.077707660989184,240.294614155999994
330,329,-93.530708436763518,44.077668660989190,248.840276082000003
331,330,-93.530708436763518,44.077629660989189,240.528493244999993
332,331,-93.530708436763518,44.077590660989195,239.231643676999994
333,332,-93.530708436763518,44.077551660989187,244.038772582999997
334,333,-93.530708436763518,44.077512660989193,241.345985412999994
335,334,-93.530708436763518,44.077473660989192,230.862022400000001
336,335,-93.530708436763518,44.077434660989191,224.344332377000001
337,336,-93.530708436763518,44.077395660989190,222.241297403999994
338,337,-93.530708436763518,44.077356660989189,225.210149129000001
