,Mean.Yld.bu.ac
480,0.8129745891094333
481,0.8045896532596626
482,0.8070869221549253
483,0.7848049277974605
484,0.7876211316792858
485,0.8088379772168053
486,0.8321221751561625
487,0.8618376181081646
488,0.8282104086864699
489,0.825426613711254
490,0.8026348294954928
491,0.8119551866893553
492,0.7621734809948655
493,0.7035746153040634
494,0.679895149406297
495,0.5346627812856224
496,0.32085152568158515
497,0.2921275047538494
498,0.4489740296062479
499,0.6698019919432312
500,0.6769960586113637
501,0.5546407686001995
502,0.3225293222449326
503,0.3137186318323246
504,0.36054057594742406
505,0.4456759076964252
506,0.5031225046190286
507,0.44775743947832214
508,0.3596104027660145
509,0.29618938331416955
510,0.2800756941682667
511,0.8046862187928605
512,0.8027860281189272
513,0.8156881527782003
514,0.7988841614242936
515,0.7804019163106726
516,0.7731456816291171
517,0.7901219295113422
518,0.8243737782577041
519,0.8639731556764785
520,0.8539821625915676
521,0.8593017922745898
522,0.7780473512687127
523,0.7829976277420316
524,0.7765026921340277
525,0.75196948478344
526,0.7075089438536422
527,0.6497828683926379
528,0.4104810272954309
529,0.31624115511312767
530,0.3722440636691513
531,0.5647717111785484
532,0.656420796002458
533,0.5963280533342097
534,0.4010265855753845
535,0.324646852025396
536,0.33938333574490764
537,0.40633127421808246
538,0.5031261188749292
539,0.4320260213833873
540,0.3320284670878426
541,0.2852972550869546
542,0.2911354789728877
543,0.7327688225505617
544,0.7510968075428663
545,0.8158195881853763
546,0.8033836991974965
547,0.8077850991648066
548,0.8023236263740379
549,0.8223552387742661
550,0.8094468392874434
551,0.8417153516792295
552,0.8304152561949352
553,0.8371869097676452
554,0.7709486974843518
555,0.7605600731477824
556,0.7990695552570704
557,0.7926717530176799
558,0.7718915529277606
559,0.7490110857734313
560,0.5033841925540128
561,0.3583501443615207
562,0.3482140234900988
563,0.47955960191493374
564,0.6309471826426418
565,0.6263447116306267
566,0.4785158157323619
567,0.3360496840882983
568,0.315627008950512
569,0.44974525902674367
570,0.502089138673474
571,0.4092671086773936
572,0.31421276435694456
573,0.24957849194121762
574,0.3129379448372014
575,0.5136404118406208
576,0.6486278923698305
577,0.8068532779542457
578,0.8369453604527037
579,0.848948102699405
580,0.8327746500327897
581,0.8446964294906414
582,0.8180778999094092
583,0.7894815511356843
584,0.8262139986714889
585,0.8011143747232952
586,0.7737732851940873
587,0.764390459182315
588,0.8469182931599197
589,0.8433602623289316
590,0.807747764611426
591,0.804230644502683
592,0.626697269466282
593,0.3818802576882361
594,0.36879288323473514
595,0.4687072756379369
596,0.6234410022322987
597,0.637453337070826
598,0.5077232861946259
599,0.33285205626323244
600,0.3126833289147759
601,0.446761351394223
602,0.4889014461584289
603,0.4180577237974379
604,0.32160284585940224
605,0.26371006494587035
606,0.3567483261197948
607,0.5320118029131213
608,0.46488490098896085
609,0.8202582483863474
610,0.9025647195569055
611,0.8710610360873778
612,0.8506789533480554
613,0.8445777927895484
614,0.8112573461275119
615,0.7793763582650697
616,0.7796503610396774
617,0.781803524824523
618,0.7946526115231913
619,0.806862503128164
620,0.888880934000778
621,0.8752501477362009
622,0.8364676666953625
623,0.8490995297819366
624,0.6860937257298738
625,0.3948752415694263
626,0.3933637999714834
627,0.4950322045419071
628,0.6269529310778217
629,0.6439910301850194
630,0.5338515193284696
631,0.38564313068092027
632,0.3795820990200405
633,0.45264818347812397
634,0.4921963061410781
635,0.4137010790122766
636,0.4067905560704521
637,0.3452564664492741
638,0.44766365534787544
639,0.4939842216806496
640,0.6667154236579433
641,0.9665474738113888
642,0.9354197677996521
643,0.8618457765544718
644,0.825123156834215
645,0.8253616822316681
646,0.7988284509880688
647,0.7700621718761929
648,0.7391871153733047
649,0.7777685802732086
650,0.7848648534317177
651,0.854503916578965
652,0.9093025611251682
653,0.9115295895220747
654,0.8497712767553411
655,0.8704159029783305
656,0.6422030050173775
657,0.4322863714356151
658,0.4558321552564708
659,0.5434366661194348
660,0.6320173098453561
661,0.6592576265805721
662,0.5709280524596103
663,0.4765303780600849
664,0.45823027463198485
665,0.4336499514947094
666,0.4783656635515834
667,0.4556617089678081
668,0.4724074920991024
669,0.5237192353900266
670,0.5733965995930774
671,0.6714101313306815
672,0.5859342475149232
673,0.8914591500089339
674,0.901374260995425
675,0.8564877429872768
676,0.7944602156537115
677,0.7977039593127222
678,0.778053639249269
679,0.7483196504043403
680,0.7274725187232987
681,0.7932159915441654
682,0.7953420351226317
683,0.8608234582828831
684,0.9000921757893761
685,0.9116757017479655
686,0.8487882395939541
687,0.8715204833212775
688,0.7166133392371488
689,0.5143886438397585
690,0.549964281954241
691,0.6178280575104411
692,0.6428618091266709
693,0.6603570862218917
694,0.6088138343628116
695,0.5284859733266085
696,0.5049647900312726
697,0.45341413519311136
698,0.45655381254795935
699,0.48785607457518876
700,0.5153727412455757
701,0.6176544780909108
702,0.6458332566701297
703,0.6533747505068899
704,0.7048612434843844
705,0.7903730737371295
706,0.8686373136652914
707,0.8494213193671221
708,0.7885468824195643
709,0.805162473234668
710,0.7751802547367337
711,0.7775699128664615
712,0.7745030141926208
713,0.8081597935985945
714,0.8316135413877224
715,0.8559677116605093
716,0.8552153735233372
