,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG
1213,0.21632801891062714,0.2379667358326255,0.19721168740986056,0.22098370913446103,0.6572157049547107,0.5947006423970681,0.5848049105576446,0.29656708772797735,0.30044249617468255,0.41070899990581,0.30677267765298555,0.30033480100830456,0.6148607763191309,0.6798835808153589,0.5503775526292589,0.5958869272924865
1214,0.20321380073429562,0.2177652586197628,0.17636611292131832,0.20250971812407997,0.6678328526398642,0.5777393395362972,0.5556854820757359,0.26015693724585054,0.2765807865679666,0.4267807414835484,0.26902464786607505,0.2763998341883247,0.5980784925156903,0.6917852017834496,0.5330178960701328,0.5984559566075469
1215,0.18032993009103254,0.21249717781385402,0.1785428128839272,0.19413060279195266,0.7152470539718065,0.7068791155207675,0.7135135885384335,0.2981265622895797,0.29057938050535537,0.29976650059943155,0.3027501602276884,0.29075571582967286,0.7245702539515109,0.733783867241071,0.667974591618234,0.6752114462559371
1216,0.16969270230850475,0.2126691967789448,0.1648950376582447,0.18813289326713273,0.8025066958300415,0.7827192197056533,0.7731065669754323,0.21155780390794154,0.32986642405194155,0.2216558327734271,0.20495614256364836,0.3303014343081805,0.7974336754113747,0.817507452440984,0.7503252427408098,0.7668840778661794
1217,0.18870391791983093,0.21801253588208092,0.180839698734042,0.1996782332889802,0.7060454820508462,0.677570636955856,0.6764294100500975,0.28690053822281225,0.29446673007733326,0.328340061335026,0.29224286174952163,0.29457162289008665,0.6961258874743466,0.7256514720057201,0.6367749760818331,0.658608965520175
1218,0.17444550621133625,0.21961446249449001,0.17727418407136375,0.1957860385504971,0.7782625074307232,0.7849764924359947,0.7905429117288992,0.2573716517493305,0.3295976179645176,0.2213101942509505,0.2547591841790223,0.33003321082687764,0.7995857168853266,0.7936534846871723,0.7528127690616864,0.74920584510288
1219,0.18119750540662877,0.22357089869158076,0.1725335185086267,0.19845360230806902,0.7903627620174727,0.7580558769545706,0.7446220645666178,0.21018965226859265,0.3410528927670484,0.24601846774552938,0.20491315536544763,0.34143698405295,0.7738569952063525,0.8064836821605126,0.7232848249844084,0.7491235749441416
1220,0.18884222702811443,0.24261124789007982,0.1845120452967256,0.21282665352910052,0.8187648823853502,0.8012373921430701,0.7903865772352304,0.19974097214934883,0.383172738927257,0.2028405309112607,0.1908991694437321,0.38372572538727223,0.8150597574607985,0.8327843100187353,0.770795795803795,0.7858183042383677
1221,0.21460544183473318,0.26865061873071505,0.2100849313605042,0.23873030020352787,0.7734339292865662,0.7566085510546198,0.7521820596061507,0.23939312251415767,0.4013688433067284,0.24857849335715831,0.23680319996649712,0.4018226737541549,0.7724698604433871,0.7898066053028774,0.7217058573870614,0.7357244238313823
1222,0.2757380676960217,0.3326631761151667,0.2657710592382886,0.3002002111284408,0.7042977099095047,0.6745657271568642,0.6730863931285419,0.28721923720879783,0.4608370208014556,0.3313208253817154,0.29273843239672825,0.4611451836428052,0.6932007020757653,0.724015323815631,0.6335954645582365,0.6563218205010446
1223,0.31150983252024345,0.3675937772139377,0.2864964478393248,0.33215471904348964,0.6910847057621927,0.6228222864219132,0.6067624337745142,0.26138217596852087,0.5042802200074439,0.38190752262933464,0.26787517045800335,0.5045083218197827,0.6425747528476367,0.7130658746777006,0.5793995139055306,0.6297934214076237
1224,0.3241965498164261,0.38427961682775524,0.3117755461780888,0.34984631258313165,0.6567421457632974,0.62345413072027,0.6258438910749021,0.32559516132495947,0.508457053058186,0.38292361088160387,0.33604208149196035,0.5086877420866739,0.6431958363313404,0.6780388997119438,0.5800550528918027,0.6046965831624016
1225,0.2801513856057939,0.3656048079300742,0.2731157523636558,0.3195106254047038,0.8120316934362264,0.789955472724715,0.7780321552345925,0.20124607709766051,0.568917745337248,0.21406748599415432,0.19322715707371974,0.5696765592124889,0.8043291432086574,0.8265950692122339,0.7583072044073824,0.7767101747399963
